id,name,type1,type2,Japanese Kana
1,bulbasaur,grass,poison,フシギダネ
2,ivysaur,grass,poison,フシギソウ
3,venusaur,grass,poison,フシギバナ
4,charmander,fire,,ヒトカゲ
5,charmeleon,fire,,リザード
6,charizard,fire,flying,リザードン
7,squirtle,water,,ゼニガメ
8,wartortle,water,,カメール
9,blastoise,water,,カメックス
10,caterpie,bug,,キャタピー
11,metapod,bug,,トランセル
12,butterfree,bug,flying,バタフリー
13,weedle,bug,poison,ビードル
14,kakuna,bug,poison,コクーン
15,beedrill,bug,poison,スピアー
16,pidgey,normal,flying,ポッポ
17,pidgeotto,normal,flying,ピジョン
18,pidgeot,normal,flying,ピジョット
19,rattata,normal,,コラッタ
20,raticate,normal,,ラッタ
21,spearow,normal,flying,オニスズメ
22,fearow,normal,flying,オニドリル
23,ekans,poison,,アーボ
24,arbok,poison,,アーボック
25,pikachu,electric,,ピカチュウ
26,raichu,electric,,ライチュウ
27,sandshrew,ground,,サンド
28,sandslash,ground,,サンドパン
29,nidoran-f,poison,,ニドラン♀
30,nidorina,poison,,ニドリーナ
31,nidoqueen,poison,ground,ニドクイン
32,nidoran-m,poison,,ニドラン♂
33,nidorino,poison,,ニドリーノ
34,nidoking,poison,ground,ニドキング
35,clefairy,fairy,,ピッピ
36,clefable,fairy,,ピクシー
37,vulpix,fire,,ロコン
38,ninetales,fire,,キュウコン
39,jigglypuff,normal,fairy,プリン
40,wigglytuff,normal,fairy,プクリン
41,zubat,poison,flying,ズバット
42,golbat,poison,flying,ゴルバット
43,oddish,grass,poison,ナゾノクサ
44,gloom,grass,poison,クサイハナ
45,vileplume,grass,poison,ラフレシア
46,paras,bug,grass,パラス
47,parasect,bug,grass,パラセクト
48,venonat,bug,poison,コンパン
49,venomoth,bug,poison,モルフォン
50,diglett,ground,,ディグダ
51,dugtrio,ground,,ダグトリオ
52,meowth,normal,,ニャース
53,persian,normal,,ペルシアン
54,psyduck,water,,コダック
55,golduck,water,,ゴルダック
56,mankey,fighting,,マンキー
57,primeape,fighting,,オコリザル
58,growlithe,fire,,ガーディ
59,arcanine,fire,,ウインディ
60,poliwag,water,,ニョロモ
61,poliwhirl,water,,ニョロゾ
62,poliwrath,water,fighting,ニョロボン
63,abra,psychic,,ケーシィ
64,kadabra,psychic,,ユンゲラー
65,alakazam,psychic,,フーディン
66,machop,fighting,,ワンリキー
67,machoke,fighting,,ゴーリキー
68,machamp,fighting,,カイリキー
69,bellsprout,grass,poison,マダツボミ
70,weepinbell,grass,poison,ウツドン
71,victreebel,grass,poison,ウツボット
72,tentacool,water,poison,メノクラゲ
73,tentacruel,water,poison,ドククラゲ
74,geodude,rock,ground,イシツブテ
75,graveler,rock,ground,ゴローン
76,golem,rock,ground,ゴローニャ
77,ponyta,fire,,ポニータ
78,rapidash,fire,,ギャロップ
79,slowpoke,water,psychic,ヤドン
80,slowbro,water,psychic,ヤドラン
81,magnemite,electric,steel,コイル
82,magneton,electric,steel,レアコイル
83,farfetchd,normal,flying,カモネギ
84,doduo,normal,flying,ドードー
85,dodrio,normal,flying,ドードリオ
86,seel,water,,パウワウ
87,dewgong,water,ice,ジュゴン
88,grimer,poison,,ベトベター
89,muk,poison,,ベトベトン
90,shellder,water,,シェルダー
91,cloyster,water,ice,パルシェン
92,gastly,ghost,poison,ゴース
93,haunter,ghost,poison,ゴースト
94,gengar,ghost,poison,ゲンガー
95,onix,rock,ground,イワーク
96,drowzee,psychic,,スリープ
97,hypno,psychic,,スリーパー
98,krabby,water,,クラブ
99,kingler,water,,キングラー
100,voltorb,electric,,ビリリダマ
101,electrode,electric,,マルマイン
102,exeggcute,grass,psychic,タマタマ
103,exeggutor,grass,psychic,ナッシー
104,cubone,ground,,カラカラ
105,marowak,ground,,ガラガラ
106,hitmonlee,fighting,,サワムラー
107,hitmonchan,fighting,,エビワラー
108,lickitung,normal,,ベロリンガ
109,koffing,poison,,ドガース
110,weezing,poison,,マタドガス
111,rhyhorn,ground,rock,サイホーン
112,rhydon,ground,rock,サイドン
113,chansey,normal,,ラッキー
114,tangela,grass,,モンジャラ
115,kangaskhan,normal,,ガルーラ
116,horsea,water,,タッツー
117,seadra,water,,シードラ
118,goldeen,water,,トサキント
119,seaking,water,,アズマオウ
120,staryu,water,,ヒトデマン
121,starmie,water,psychic,スターミー
122,mr. mime,psychic,fairy,バリヤード
123,scyther,bug,flying,ストライク
124,jynx,ice,psychic,ルージュラ
125,electabuzz,electric,,エレブー
126,magmar,fire,,ブーバー
127,pinsir,bug,,カイロス
128,tauros,normal,,ケンタロス
129,magikarp,water,,コイキング
130,gyarados,water,flying,ギャラドス
131,lapras,water,ice,ラプラス
132,ditto,normal,,メタモン
133,eevee,normal,,イーブイ
134,vaporeon,water,,シャワーズ
135,jolteon,electric,,サンダース
136,flareon,fire,,ブースター
137,porygon,normal,,ポリゴン
138,omanyte,rock,water,オムナイト
139,omastar,rock,water,オムスター
140,kabuto,rock,water,カブト
141,kabutops,rock,water,カブトプス
142,aerodactyl,rock,flying,プテラ
143,snorlax,normal,,カビゴン
144,articuno,ice,flying,フリーザー
145,zapdos,electric,flying,サンダー
146,moltres,fire,flying,ファイヤー
147,dratini,dragon,,ミニリュウ
148,dragonair,dragon,,ハクリュー
149,dragonite,dragon,flying,カイリュー
150,mewtwo,psychic,,ミュウツー
151,mew,psychic,,ミュウ
152,chikorita,grass,,チコリータ
153,bayleef,grass,,ベイリーフ
154,meganium,grass,,メガニウム
155,cyndaquil,fire,,ヒノアラシ
156,quilava,fire,,マグマラシ
157,typhlosion,fire,,バクフーン
158,totodile,water,,ワニノコ
159,croconaw,water,,アリゲイツ
160,feraligatr,water,,オーダイル
161,sentret,normal,,オタチ
162,furret,normal,,オオタチ
163,hoothoot,normal,flying,ホーホー
164,noctowl,normal,flying,ヨルノズク
165,ledyba,bug,flying,レディバ
166,ledian,bug,flying,レディアン
167,spinarak,bug,poison,イトマル
168,ariados,bug,poison,アリアドス
169,crobat,poison,flying,クロバット
170,chinchou,water,electric,チョンチー
171,lanturn,water,electric,ランターン
172,pichu,electric,,ピチュー
173,cleffa,fairy,,ピィ
174,igglybuff,normal,fairy,ププリン
175,togepi,fairy,,トゲピー
176,togetic,fairy,flying,トゲチック
177,natu,psychic,flying,ネイティ
178,xatu,psychic,flying,ネイティオ
179,mareep,electric,,メリープ
180,flaaffy,electric,,モココ
181,ampharos,electric,,デンリュウ
182,bellossom,grass,,キレイハナ
183,marill,water,fairy,マリル
184,azumarill,water,fairy,マリルリ
185,sudowoodo,rock,,ウソッキー
186,politoed,water,,ニョロトノ
187,hoppip,grass,flying,ハネッコ
188,skiploom,grass,flying,ポポッコ
189,jumpluff,grass,flying,ワタッコ
190,aipom,normal,,エイパム
191,sunkern,grass,,ヒマナッツ
192,sunflora,grass,,キマワリ
193,yanma,bug,flying,ヤンヤンマ
194,wooper,water,ground,ウパー
195,quagsire,water,ground,ヌオー
196,espeon,psychic,,エーフィ
197,umbreon,dark,,ブラッキー
198,murkrow,dark,flying,ヤミカラス
199,slowking,water,psychic,ヤドキング
200,misdreavus,ghost,,ムウマ
201,unown,psychic,,アンノーン
202,wobbuffet,psychic,,ソーナンス
203,girafarig,normal,psychic,キリンリキ
204,pineco,bug,,クヌギダマ
205,forretress,bug,steel,フォレトス
206,dunsparce,normal,,ノコッチ
207,gligar,ground,flying,グライガー
208,steelix,steel,ground,ハガネール
209,snubbull,fairy,,ブルー
210,granbull,fairy,,グランブル
211,qwilfish,water,poison,ハリーセン
212,scizor,bug,steel,ハッサム
213,shuckle,bug,rock,ツボツボ
214,heracross,bug,fighting,ヘラクロス
215,sneasel,dark,ice,ニューラ
216,teddiursa,normal,,ヒメグマ
217,ursaring,normal,,リングマ
218,slugma,fire,,マグマッグ
219,magcargo,fire,rock,マグカルゴ
220,swinub,ice,ground,ウリムー
221,piloswine,ice,ground,イノムー
222,corsola,water,rock,サニーゴ
223,remoraid,water,,テッポウオ
224,octillery,water,,オクタン
225,delibird,ice,flying,デリバード
226,mantine,water,flying,マンタイン
227,skarmory,steel,flying,エアームド
228,houndour,dark,fire,デルビル
229,houndoom,dark,fire,ヘルガー
230,kingdra,water,dragon,キングドラ
231,phanpy,ground,,ゴマゾウ
232,donphan,ground,,ドンファン
233,porygon2,normal,,ポリゴン２
234,stantler,normal,,オドシシ
235,smeargle,normal,,ドーブル
236,tyrogue,fighting,,バルキー
237,hitmontop,fighting,,カポエラー
238,smoochum,ice,psychic,ムチュール
239,elekid,electric,,エレキッド
240,magby,fire,,ブビィ
241,miltank,normal,,ミルタンク
242,blissey,normal,,ハピナス
243,raikou,electric,,ライコウ
244,entei,fire,,エンテイ
245,suicune,water,,スイクン
246,larvitar,rock,ground,ヨーギラス
247,pupitar,rock,ground,サナギラス
248,tyranitar,rock,dark,バンギラス
249,lugia,psychic,flying,ルギア
250,ho-oh,fire,flying,ホウオウ
251,celebi,psychic,grass,セレビィ
252,treecko,grass,,キモリ
253,grovyle,grass,,ジュプトル
254,sceptile,grass,,ジュカイン
255,torchic,fire,,アチャモ
256,combusken,fire,fighting,ワカシャモ
257,blaziken,fire,fighting,バシャーモ
258,mudkip,water,,ミズゴロウ
259,marshtomp,water,ground,ヌマクロー
260,swampert,water,ground,ラグラージ
261,poochyena,dark,,ポチエナ
262,mightyena,dark,,グラエナ
263,zigzagoon,normal,,ジグザグマ
264,linoone,normal,,マッスグマ
265,wurmple,bug,,ケムッソ
266,silcoon,bug,,カラサリス
267,beautifly,bug,flying,アゲハント
268,cascoon,bug,,マユルド
269,dustox,bug,poison,ドクケイル
270,lotad,water,grass,ハスボー
271,lombre,water,grass,ハスブレロ
272,ludicolo,water,grass,ルンパッパ
273,seedot,grass,,タネボー
274,nuzleaf,grass,dark,コノハナ
275,shiftry,grass,dark,ダーテング
276,taillow,normal,flying,スバメ
277,swellow,normal,flying,オオスバメ
278,wingull,water,flying,キャモメ
279,pelipper,water,flying,ペリッパー
280,ralts,psychic,fairy,ラルトス
281,kirlia,psychic,fairy,キルリア
282,gardevoir,psychic,fairy,サーナイト
283,surskit,bug,water,アメタマ
284,masquerain,bug,flying,アメモース
285,shroomish,grass,,キノココ
286,breloom,grass,fighting,キノガッサ
287,slakoth,normal,,ナマケロ
288,vigoroth,normal,,ヤルキモノ
289,slaking,normal,,ケッキング
290,nincada,bug,ground,ツチニン
291,ninjask,bug,flying,テッカニン
292,shedinja,bug,ghost,ヌケニン
293,whismur,normal,,ゴニョニョ
294,loudred,normal,,ドゴーム
295,exploud,normal,,バクオング
296,makuhita,fighting,,マクノシタ
297,hariyama,fighting,,ハリテヤマ
298,azurill,normal,fairy,ルリリ
299,nosepass,rock,,ノズパス
300,skitty,normal,,エネコ
301,delcatty,normal,,エネコロロ
302,sableye,dark,ghost,ヤミラミ
303,mawile,steel,fairy,クチート
304,aron,steel,rock,ココドラ
305,lairon,steel,rock,コドラ
306,aggron,steel,rock,ボスゴドラ
307,meditite,fighting,psychic,アサナン
308,medicham,fighting,psychic,チャーレム
309,electrike,electric,,ラクライ
310,manectric,electric,,ライボルト
311,plusle,electric,,プラスル
312,minun,electric,,マイナン
313,volbeat,bug,,バルビート
314,illumise,bug,,イルミーゼ
315,roselia,grass,poison,ロゼリア
316,gulpin,poison,,ゴクリン
317,swalot,poison,,マルノーム
318,carvanha,water,dark,キバニア
319,sharpedo,water,dark,サメハダー
320,wailmer,water,,ホエルコ
321,wailord,water,,ホエルオー
322,numel,fire,ground,ドンメル
323,camerupt,fire,ground,バクーダ
324,torkoal,fire,,コータス
325,spoink,psychic,,バネブー
326,grumpig,psychic,,ブーピッグ
327,spinda,normal,,パッチール
328,trapinch,ground,,ナックラー
329,vibrava,ground,dragon,ビブラーバ
330,flygon,ground,dragon,フライゴン
331,cacnea,grass,,サボネア
332,cacturne,grass,dark,ノクタス
